date,realestate,unsecured,other,total
Dec 2000,41898905,9581955,28034400,79515260
Dec 2001,56336322,9897756,29293991,95528069
Dec 2002,67538761,9981207,29303766,106823734
Dec 2003,78785880,10149099,27325019,116259998
Mar 2004,85101018,9866933,27270422,122238373
Dec 2005,111473252,13134536,29502765,154110553
Mar 2006,110361438,12023018,28534521,150918977
Dec 2007,119144600,14701927,34314787,168161314
Dec 2008,131299028,15323243,38765539,185387810
Dec 2009,130566815,15361416,45662034,191590265
Dec 2010,122939853,15501279,43540485,181981617
Mar 2011,119451431,13969103,42632723,176053257
Dec 2012,102979033,14969460,32244937,150193430
Dec 2013,119222144,25377817,39846137,184446098
Dec 2014,115520777,24669123,37426679,177616579
Dec 2015,123745783,24510618,38249512,179967003
Mar 2016,124078305,22732330,39310093,191333769
Dec 2017,125023056,21767847,50535311,197326214
Dec 2018,125577248,21222452,51370741,198170441
Dec 2019,128373262,20659096,51782024,200814382
Mar 2020,128576142,19551804,51206952,199334898
