month,bidding_no,vehicle_class,premium
Dec 2000,1,Real Estate,41898905
Dec 2000,1,Unsecured,9581955
Dec 2000,1,Other,28034400
Dec 2000,1,Total,79515260
Dec 2001,1,Real Estate,56336322
Dec 2001,1,Unsecured,9897756
Dec 2001,1,Other,29293991
Dec 2001,1,Total,95528069
Dec 2002,1,Real Estate,67538761
Dec 2002,1,Unsecured,9981207
Dec 2002,1,Other,29303766
Dec 2002,1,Total,106823734
Dec 2003,1,Real Estate,78785880
Dec 2003,1,Unsecured,10149099
Dec 2003,1,Other,27325019
Dec 2003,1,Total,116259998
Dec 2004,1,Real Estate,99412248
Dec 2004,1,Unsecured,12343831
Dec 2004,1,Other,27614387
Dec 2004,1,Total,139370466
Dec 2005,1,Real Estate,111473252
Dec 2005,1,Unsecured,13134536
Dec 2005,1,Other,29502765
Dec 2005,1,Total,154110553
Dec 2006,1,Real Estate,110230543
Dec 2006,1,Unsecured,13092956
Dec 2006,1,Other,27827587
Dec 2006,1,Total,151151086
Dec 2007,1,Real Estate,119144600
Dec 2007,1,Unsecured,14701927
Dec 2007,1,Other,14701927
Dec 2007,1,Total,168161314
Dec 2008,1,Real Estate,131299028
Dec 2008,1,Unsecured,15323243
Dec 2008,1,Other,38765539
Dec 2008,1,Total,185387810
Dec 2009,1,Real Estate,130566815
Dec 2009,1,Unsecured,15361416
Dec 2009,1,Other,45662034
Dec 2009,1,Total,191590265
Dec 2010,1,Real Estate,122939853
Dec 2010,1,Unsecured,15501279
Dec 2010,1,Other,43540485
Dec 2010,1,Total,181981617
Dec 2011,1,Real Estate,114781575
Dec 2011,1,Unsecured,14932879
Dec 2011,1,Other,35128501
Dec 2011,1,Total,164842955
Dec 2012,1,Real Estate,102979033
Dec 2012,1,Unsecured,14969460
Dec 2012,1,Other,32244937
Dec 2012,1,Total,150193430
Dec 2013,1,Real Estate,119222144
Dec 2013,1,Unsecured,25377817
Dec 2013,1,Other,39846137
Dec 2013,1,Total,184446098
Dec 2014,1,Real Estate,115520777
Dec 2014,1,Unsecured,24669123
Dec 2014,1,Other,37426679
Dec 2014,1,Total,177616579
Dec 2015,1,Real Estate,123745783
Dec 2015,1,Unsecured,24510618
Dec 2015,1,Other,38249512
Dec 2015,1,Total,179967003
Dec 2016,1,Real Estate,126661969
Dec 2016,1,Unsecured,23309579
Dec 2016,1,Other,41362221
Dec 2016,1,Total,191333769
Dec 2017,1,Real Estate,125023056
Dec 2017,1,Unsecured,21767847
Dec 2017,1,Other,50535311
Dec 2017,1,Total,197326214
Dec 2018,1,Real Estate,125577248
Dec 2018,1,Unsecured,21222452
Dec 2018,1,Other,51370741
Dec 2018,1,Total,198170441
Dec 2019,1,Real Estate,128373262
Dec 2019,1,Unsecured,20659096
Dec 2019,1,Other,51782024
Dec 2019,1,Total,200814382
